class,section,roll,username,phone,password
1,B,1,Raqib Ray Sikder,01937051145,WGVFqFTCha
1,B,2,Arham Ray Banik,01607872132,MDtj9rMzoy
1,B,3,Zunaira Zoh Nizam,01654319233,JYVZpdZjIu
1,B,4,Tashfi Fae Faruqi,01995704902,BPFS9sH4BZ
1,B,5,Areeb Zee Arefin,01803672541,kt58tCOMX6
1,B,6,Tanzim Jin Sajid,01930450510,HR0xP6IaGp
1,B,7,Seyam Jin Anwar,01686370294,k20TamIzpk
1,B,8,Mehreen Kai Zaman,01536816125,C5CrnLTKxT
1,B,9,Zohair Rashid,01972883214,lsryyZiYC5
1,B,10,Kashfi Fae Sayeed,01634656599,AIKJPjTgfA
1,B,11,Zafreen Zee Bhuiyan,01657774197,0kTbByOnUv
1,B,12,Nishat Noor Anwar,01957362329,P8M4cZmiqo
1,B,13,Ruvin Roy,01716765760,oHZrXBixYY
1,B,14,Ruvin Azad,01867701799,r6zmwu3u4f
1,B,15,Zinia Kai Khan,01991742521,IXxxUcToPQ
1,B,16,Nairin Kai Hasnat,01631374149,gK59tC3XTN
1,B,17,Tahmid Ryn Nizam,01964648195,jKFE5NCsrE
1,B,18,Faiyaz Fae Riyad,01755187744,u05tRu39u8
1,B,19,Faiyaz Sayeed,01936509980,WcYJZWfMQw
1,B,20,Zunaira Noor Rumi,01973095402,zG7Z4F28gS
1,B,21,Samiha Sanyal,01675690537,RCbDceIrfK
1,B,22,Sazim Ray Jubayer,01879805345,ww1ydnXOQH
1,B,23,Mairin Kai Hasnat,01502341983,apxuwHIzu2
1,B,24,Sazim Ryn Nawaz,01539073230,ePKY14MLmX
1,B,25,Arnika Fae Imtiaz,01620068438,mA0VkSEVGT
1,B,26,Nishat Kai Banik,01710568042,Z1T0xlg9ke
1,B,27,Raysha Ryn Muntasir,01986535025,w4Bhr46MBD
1,B,28,Arham Ray Sarker,01647861696,nAh0u46IZ8
1,B,29,Fariha Jin Khan,01759358017,bMuRpWQsl7
1,B,30,Arham Jin Arefin,01946531461,fFViWX578B
1,B,31,Nihal Kai Nafi,01905158232,XURm6iLeJt
1,B,32,Seyam Ryn Riyad,01958528624,K50BjpbRXE
1,B,33,Nihal Ash Jahan,01756741986,SRJ88qqZgk
1,B,34,Raihan Kai Sadik,01791709655,ZWnAI8hwpq
1,B,35,Faiyaz Zee Haque,01800472560,1UcYnkdSca
1,B,36,Arham Ash Fahim,01785663537,9LHu47SvLm
1,B,37,Nihal Kai Bhuiyan,01680451902,JbJ7OQrORK
1,B,38,Tanzim Zee Sajid,01661069162,rhpNWa5f0H
1,B,39,Ishraq Hridoy,01788163225,zfYZn1Tvo1
1,B,40,Ayman Sarker,01782667668,o0c8z0BjSP
1,B,41,Arham Sikder,01925526765,Y69o6VU7bK
1,B,42,Raqib Bhuiyan,01909391368,WEWsSC6i8t
1,B,43,Raqib Ash Hossain,01637223799,0czDcRk89y
1,B,44,Zawad Kai Bhuiyan,01894579070,8kqt4xOc3M
1,B,45,Samiha Ryn Khandoker,01915599347,CHlIs4bd4B
1,B,46,Zunaira Fae Jahan,01630106053,RCSC3ymoks
1,B,47,Mehnaz Nizam,01829913104,tvCYS6EqrO
1,B,48,Zakia Ryn Khandoker,01852786746,FfPR1qjcjm
1,B,49,Nafiza Ash Molla,01591538162,7Cg7dL15Sq
1,B,50,Fariha Ash Molla,01716592168,lqXoZXIlo2
