class,section,roll,username,phone,password
7,A,1,Raqib Rafiq,01707314009,A5KnGYH9vG
7,A,2,Ritvik Ryn Anwar,01812375402,2jCWW4mWRd
7,A,3,Sanjida Hasnat,01988598778,zHnoyPdT66
7,A,4,Mairin Ash Barua,01786583777,IUhCHcik1b
7,A,5,Zubair Ryn Sultana,01564760401,fLAanYC9Yj
7,A,6,Arham Noor Rashid,01918142639,F0OIcuLQIP
7,A,7,Nafiza Ash Jahan,01674821918,ut4uVHOwsw
7,A,8,Zeenat Sayeed,01722248714,39BBimkPbx
7,A,9,Mairin Zee Sadik,01816401932,YhEXJwEUbB
7,A,10,Zafreen Hasnat,01842740266,XOM5adPDGp
7,A,11,Nihal Anwar,01751191803,4IC8AOecl2
7,A,12,Aarish Zoh Sikder,01589883557,URwPfS6dWe
7,A,13,Nihal Kai Sanyal,01979935855,ZK2BWStjdJ
7,A,14,Zayden Zee Arefin,01573307991,SU2X7QtaY1
7,A,15,Raqib Kai Barua,01971470629,hvn7yp9RAl
7,A,16,Nihira Ryn Ahmed,01932039561,GkiVSNq4nj
7,A,17,Zawad Kai Sabbir,01579565604,dvn0LuyGQa
7,A,18,Nihal Ash Azad,01838045812,AwHPO0Ws3b
7,A,19,Zunaira Jin Sultana,01987601338,r5WjpQOkq7
7,A,20,Mairin Noor Sikder,01729330761,iMeX821EjQ
7,A,21,Zafreen Faruqi,01522843399,NqB3g7ZiMu
7,A,22,Adrita Ray Sarker,01569704186,pStOqSbG5H
7,A,23,Zawad Kai Rumi,01690521098,IfK1glhukG
7,A,24,Ayman Jahir,01734166908,y5FPFcPJXE
7,A,25,Kashfi Ash Nafi,01776958896,CDzrjv3R3o
7,A,26,Raqib Ahmed,01857517450,3VUsfX6pb5
7,A,27,Seyam Fae Tasnim,01853800436,37Isf0nJC6
7,A,28,Zarif Zoh Nawaz,01896865378,KALjzZdlIP
7,A,29,Ayman Noor Hridoy,01671694490,aIJ6oZ1aP1
7,A,30,Fardin Ash Jubayer,01823892979,konJcPtpGS
7,A,31,Sakina Rashid,01526770009,AJiV3lEhrp
7,A,32,Tahmid Zee Karim,01929644422,c4BnE7YYU1
7,A,33,Sanjida Ahmed,01915035566,0hkZh1u0es
7,A,34,Tahmid Fae Muntasir,01748056129,4S7btYJYws
7,A,35,Sakina Sharif,01917787176,mHj3eRCF2s
7,A,36,Seyam Zoh Rumi,01523580710,fzDoHOvdwa
7,A,37,Adrita Arefin,01867056142,RopvqlMelu
7,A,38,Sakina Noor Roy,01672686869,TJR1sT84Ju
7,A,39,Rifah Kai Jahan,01904732907,6ovBvQkwqp
7,A,40,Raihan Ash Jubayer,01968116495,JDaX4rM9Dq
7,A,41,Irfan Jin Nawaz,01808835554,ce5CRYx9I3
7,A,42,Rudra Zoh Jahir,01569489638,f5aCbPQQCY
7,A,43,Areeb Fae Jahan,01547952109,8kzrR7v5uf
7,A,44,Zayden Zoh Muntasir,01791838563,wPEwVGJLYg
7,A,45,Tanzim Ash Bhuiyan,01528461841,5gy0JkkIPS
7,A,46,Iftekhar Ash Azad,01987613234,Ikx3RBBN7q
7,A,47,Mushfiq Zee Azad,01575746288,QbBqUfgskr
7,A,48,Zunaira Tasnim,01565806941,WezQFZQuKj
7,A,49,Sazim Fae Sayeed,01877702383,EbaflNel9A
7,A,50,Zayden Faruqi,01776922629,5KJ2nwvely
