class,section,roll,username,phone,password
5,B,1,Faiyaz Zoh Chowdhury,01527798052,cKxmUhuugE
5,B,2,Zunaira Zoh Anwar,01532875889,DwJNI6oJej
5,B,3,Areeb Ash Sarker,01979748711,3aZQxjqDiN
5,B,4,Ayman Fae Jahan,01679407283,ATraR0CCTL
5,B,5,Ayman Arefin,01607553238,l1R7LsEEpg
5,B,6,Raysha Sharif,01993170556,OcbFNFASas
5,B,7,Arham Barua,01812344942,3Kh08qFjiM
5,B,8,Saimun Zoh Azad,01528928024,Kjr9AZ7yYk
5,B,9,Raihan Noor Sajid,01604578787,htS9jXE0L3
5,B,10,Arshia Zoh Tasnim,01663512274,fJMQiKPYT4
5,B,11,Sazim Ash Rumi,01997154644,u7eqqmgGNN
5,B,12,Faiyaz Zee Rumi,01740447831,wd2ijuOcBI
5,B,13,Rishad Noor Fahim,01887005232,XCmXE8iiso
5,B,14,Rifah Bhuiyan,01897939395,eBBvTwwHG1
5,B,15,Hridita Sajid,01938564171,izhHUyasm3
5,B,16,Hridita Ray Anwar,01780146678,UqlmlSejI5
5,B,17,Tanzim Fae Rafiq,01897588301,Qwu0T8qULq
5,B,18,Zakia Zee Nawaz,01894048788,LabLw1N7nf
5,B,19,Areeb Ash Nawaz,01611957320,b2KRYnoG0A
5,B,20,Arham Zee Roy,01835314019,s1BuxJJ5Sy
5,B,21,Fardin Fae Nayer,01647381197,Zq1EDpmLBj
5,B,22,Rifah Zee Jahan,01514748631,zArcM2zAmb
5,B,23,Zafreen Fae Sami,01645710352,QimQkG9ETR
5,B,24,Kashfi Zoh Muntasir,01567212516,ipdmDBcolR
5,B,25,Nafiza Hasnat,01835445487,WGnNiyglmG
5,B,26,Nishat Jin Banik,01915912802,cpNfCvpZMm
5,B,27,Aarish Kai Sarker,01666685664,Ao83IkeY3J
5,B,28,Rafid Jin Khandoker,01778020033,NjayIykwct
5,B,29,Zawad Kai Faruqi,01569999175,3pmqTOVtjG
5,B,30,Rishad Jin Hridoy,01947217050,Ss1zj57mLe
5,B,31,Zinia Fae Sayeed,01896265678,tU5so2R3qL
5,B,32,Nairin Zoh Khan,01956037965,5aeKjkl9kl
5,B,33,Raihan Ash Arif,01532831436,8OtHHpTfOp
5,B,34,Rifah Fae Sharif,01847417128,ee00maXW2Z
5,B,35,Rafid Roy,01883000893,mHDTzzX6Ph
5,B,36,Zinia Ash Azad,01798354165,Zql1eBEgdm
5,B,37,Nihira Kai Hridoy,01670726977,qtO3tyZTNZ
5,B,38,Irfan Bhuiyan,01595647985,ZPgAFRcaU8
5,B,39,Irfan Noor Arefin,01685750769,ve8j4lif7e
5,B,40,Zinia Jin Sayeed,01632763116,6nIzzJXkPO
5,B,41,Hridita Kai Jahan,01637676606,TGe9pLGXZA
5,B,42,Aarish Zoh Barua,01962619142,HHCCTyx6Lo
5,B,43,Mehreen Fae Paul,01663035682,VXtPjnIcDc
5,B,44,Nafiza Kai Das,01649268236,jlR36ijZC0
5,B,45,Iftekhar Kai Nizam,01578695065,KGS6NGg7jI
5,B,46,Ruvin Ash Arif,01909680335,XhYJdCtglx
5,B,47,Arshia Zoh Sayeed,01707970027,1Oi11LBj1F
5,B,48,Sanjida Ash Hasnat,01625297634,bcGjWEKm9f
5,B,49,Afsheen Sarker,01794588418,fH1oU1rqmQ
5,B,50,Zinia Zee Sarker,01667975250,v9TJRhcvU7
