class,section,roll,username,phone,password
8,A,1,Zohair Hossain,01954681032,MZ2hsn9oq5
8,A,2,Irfan Zee Tasnim,01983777188,jfLAS2TDP5
8,A,3,Irfan Zee Sharif,01946976052,EkN93WslIJ
8,A,4,Anika Zoh Nayer,01854321995,oJtcpaSyLv
8,A,5,Zinia Rumi,01679002881,tlu6xF03yL
8,A,6,Aarish Zee Arefin,01511572590,uhs93S9OBZ
8,A,7,Rudra Ash Roy,01573579336,s6hT4qMt7J
8,A,8,Maliha Zee Chowdhury,01958475418,EFQIhEYYIV
8,A,9,Nihal Sayeed,01606488506,nJ9AbhAvVB
8,A,10,Raqib Zoh Arefin,01988520398,hJg30ryD99
8,A,11,Nishat Tasnim,01604697382,I2KnVOURQw
8,A,12,Tanzim Kamal,01983243424,Mhyz081nln
8,A,13,Tashfi Kai Rumi,01956383019,fOuSRHayjr
8,A,14,Nishat Ash Khandoker,01722475283,czEFIYwOXK
8,A,15,Rishad Jin Sharif,01504584943,4dmBq37uPk
8,A,16,Adrita Kai Banik,01764248631,BeYELGvnZT
8,A,17,Irfan Fae Paul,01640313371,X2on9CPdJC
8,A,18,Zinia Noor Sikder,01694418932,4yIUsX5hWn
8,A,19,Arham Ray Molla,01814886299,19K1b8Ay1o
8,A,20,Tahsin Kai Jahir,01767714401,XqohB7LE9Z
8,A,21,Mairin Jin Banik,01631157319,WrOeGXwFeY
8,A,22,Raysha Jahan,01550403160,oT1JoFHQWl
8,A,23,Ayman Noor Sajid,01757921404,oMv8kYHOmP
8,A,24,Raihan Fae Khandoker,01784919221,4pVa3D0MEK
8,A,25,Irfan Jin Sultana,01876822240,gKYHsPAms0
8,A,26,Raiqa Zee Rumi,01982057939,LfqqG8sjeb
8,A,27,Zakia Sarker,01798828143,i8l5pZuiYa
8,A,28,Zafreen Noor Arif,01669230995,yoOIIQFeBi
8,A,29,Zarin Ash Hossain,01984327728,E80nHH1ymu
8,A,30,Ibtihaj Ryn Zaman,01758063094,6R94PTFKgd
8,A,31,Samiha Fae Das,01662975225,gApMotibQI
8,A,32,Raysha Ryn Nafi,01691082285,D2aW6TAfuu
8,A,33,Zohair Zee Nawaz,01641826094,DM4oiWavgc
8,A,34,Tashfi Ash Sayeed,01621942561,Nca6Z0BxxD
8,A,35,Zarif Kai Haque,01697467322,mFU96ERoIx
8,A,36,Zeenat Sharif,01977365805,beRr8Dn9a6
8,A,37,Zubair Noor Fahim,01971715494,vkrbzRVBaR
8,A,38,Zohair Nizam,01616766558,MrTWJ82loi
8,A,39,Rafid Ash Hossain,01694492282,dn2yTkEftJ
8,A,40,Zubair Fae Kamal,01847889054,WQPIwJQbdv
8,A,41,Arham Ryn Faruqi,01798521065,cokcCDEGm2
8,A,42,Zarif Fae Sultana,01556903963,ZKFfZ1fIra
8,A,43,Zarin Fae Jahan,01512233053,X2kFPIqnan
8,A,44,Faiyaz Kai Jubayer,01641840973,3DdQeughUj
8,A,45,Areeb Zaman,01930120721,HhU6NjNaUi
8,A,46,Seyam Noor Sanyal,01678767927,I7rade6Plx
8,A,47,Sakina Ash Muntasir,01946464400,WqkhW7eIur
8,A,48,Ruvin Ash Rahman,01634984616,TZlFsocs7u
8,A,49,Hridita Ash Hridoy,01819784092,Ixcn2TFthu
8,A,50,Areeb Fae Rumi,01582929120,ML0ipsiiy0
