class,section,roll,username,phone,password
4,B,1,Tashfi Fae Imtiaz,01920120763,AVnmbOjj35
4,B,2,Zarif Ray Sarker,01923570325,u4iEhv6qkb
4,B,3,Rishad Noor Hossain,01663261825,VH8tw0yUQb
4,B,4,Nihal Tasnim,01858979324,ofzjfWG3AK
4,B,5,Mushfiq Fae Arif,01812439191,mc67w2Bv9u
4,B,6,Zawad Das,01605421079,GC4cZqqUxB
4,B,7,Fariha Zee Nayer,01595763171,mpmlGXKvnV
4,B,8,Ritvik Fae Karim,01551171921,NTVyPeXVY1
4,B,9,Nihira Kai Sharif,01960815280,uoNUME6olg
4,B,10,Ayman Zoh Sikder,01759830222,nVjCNQGuQ8
4,B,11,Tashfi Zee Karim,01543445824,kmWb3QuLUu
4,B,12,Ibtihaj Fahim,01915511253,mD6Eppg5T0
4,B,13,Aarish Kai Arefin,01543105758,gJ6nxZwDYz
4,B,14,Seyam Kai Hasnat,01507464523,OWTOmieMxi
4,B,15,Rafid Ryn Zaman,01724516148,h8jgv8kx0a
4,B,16,Ritvik Kai Sabbir,01501267907,V70rxLqAjV
4,B,17,Nishat Ray Azad,01737810220,j5JoLqef32
4,B,18,Tahmid Kai Rafiq,01687313118,j0Bb7yhG56
4,B,19,Zarin Zee Arif,01654181962,0EU2C6f7n0
4,B,20,Arnika Hridoy,01697123393,17lYgZRG3b
4,B,21,Fardin Fae Sarker,01748552673,lHTLNVN8TB
4,B,22,Iftekhar Zee Haque,01571980391,ilKzK5N66G
4,B,23,Tahsin Khan,01529663784,Lf7gb6VSA6
4,B,24,Nishat Zee Nawaz,01687099722,cLVBythpeF
4,B,25,Aarish Ash Karim,01785714624,2WDI1r6nxz
4,B,26,Mushfiq Chowdhury,01843882278,Do485xsk6C
4,B,27,Zarin Kai Sajid,01724258517,AeFrOOO5uX
4,B,28,Aarish Jin Hasnat,01966579383,7Wp3dV37K1
4,B,29,Zawad Zoh Jubayer,01587497827,5chG9tQUz6
4,B,30,Seyam Banik,01633353782,r0h1MpPV9W
4,B,31,Raiqa Zoh Arif,01864347779,FVOZS3t3Sk
4,B,32,Arham Zoh Sultana,01814524333,CC6pTI6HNr
4,B,33,Zinia Fae Barua,01777249444,KsQqPhNT0D
4,B,34,Sakina Fae Rahman,01921229294,qzvIcjTh1C
4,B,35,Nihira Kai Zaman,01561987997,1JbHSQrTyM
4,B,36,Arshia Anwar,01899336337,bv29D2DFap
4,B,37,Zayden Zoh Das,01825814195,dGLZKanv8Z
4,B,38,Mehreen Ryn Karim,01777338786,rRlMri04H9
4,B,39,Raihan Sajid,01541687709,lNHLVY7PyE
4,B,40,Zarif Haque,01553945023,XnpXm1jyZr
4,B,41,Raihan Ryn Khandoker,01880498544,WPiB4Jy3MV
4,B,42,Nairin Jahan,01588222760,jA3WNlLI4d
4,B,43,Ritvik Noor Das,01921904924,hiJUIBSf8L
4,B,44,Zunaira Noor Karim,01536891887,so37kbYTNq
4,B,45,Rifah Ryn Muntasir,01767198495,maZjRWuzsy
4,B,46,Mushfiq Ryn Anwar,01981394873,UNxevXmuDO
4,B,47,Hridita Ryn Riyad,01797087440,tFW3g7JHUA
4,B,48,Rishad Khandoker,01894874121,J5Yq3wBTkg
4,B,49,Raqib Sayeed,01717976176,AN3EgPRjdU
4,B,50,Kashfi Rashid,01848558782,uUaqaalZ9n
