class,section,roll,username,phone,password
9,A,1,Areeb Jin Paul,01683681197,99xchAS45X
9,A,2,Zayden Ash Nizam,01587130914,urW5ZnJ0H7
9,A,3,Iftekhar Fae Arif,01954362380,stDqKkcWmv
9,A,4,Zohair Fae Barua,01845279897,fEHI6nuNgI
9,A,5,Raysha Nizam,01869084031,gddhqyLMJ1
9,A,6,Zinia Fae Sharif,01992823905,JWrOg6cspa
9,A,7,Raiqa Fae Nafi,01991953444,Sq8z1SJXxa
9,A,8,Ritvik Jin Imtiaz,01647436692,TEXipYVgl9
9,A,9,Zubair Jin Nayer,01612515752,TQOl9P9p0v
9,A,10,Ruvin Noor Kamal,01506630400,0PmxrsyLvh
9,A,11,Rafid Fae Hridoy,01637104410,I4IHfL5drW
9,A,12,Nairin Muntasir,01764021267,HI7ntJuvRL
9,A,13,Tashfi Zee Sami,01678404517,CDHpJ2c5qL
9,A,14,Ritvik Jin Jubayer,01677256921,wOTd0mDyV3
9,A,15,Zafreen Zee Paul,01952924669,iON9KeKD1C
9,A,16,Mairin Noor Nizam,01795486241,JgBXRSAu9K
9,A,17,Zayden Jin Haque,01530996767,5xCqZH8ZNt
9,A,18,Nihira Sharif,01921605116,QyOKcjXRCy
9,A,19,Samiha Jin Khandoker,01844161995,ax8yrnpF9m
9,A,20,Samiha Jin Haque,01951014761,RRiyWKCX92
9,A,21,Nihal Ryn Hossain,01698768715,QJVPXzDrs9
9,A,22,Tahmid Ryn Rumi,01681407454,NXOP4swlwi
9,A,23,Zeenat Bhuiyan,01660644755,6kDCL0IshX
9,A,24,Nihal Ash Rumi,01663380389,xV0CQpuySE
9,A,25,Ayman Ash Sajid,01894230816,olzcado2MK
9,A,26,Rifah Zee Das,01864697739,zmbvMsReUN
9,A,27,Tanzim Karim,01501141414,bDWyl7YUVp
9,A,28,Arshia Zee Khan,01789465760,hB1pm9AsXx
9,A,29,Rifah Rafiq,01704317837,fwmzYQ3e5H
9,A,30,Fardin Ash Zaman,01866116481,GEPRwuKbuO
9,A,31,Tanzim Noor Paul,01859564402,3NB7bdh9K9
9,A,32,Seyam Zee Molla,01562168196,8PP3ZoAfrV
9,A,33,Zawad Zoh Haque,01537920102,eRSdiGxJiT
9,A,34,Zarif Kai Sami,01643024857,PTJnTgV2Dn
9,A,35,Adrita Hasnat,01873670907,GTZhPykhwD
9,A,36,Fardin Ray Das,01894395420,x7qD1XLQ2N
9,A,37,Rudra Kai Imtiaz,01601235488,3OWDZEWeNj
9,A,38,Nihira Kai Jahan,01769510260,gBOHGtAelm
9,A,39,Iftekhar Jin Nayer,01971056390,RvueaaRtVG
9,A,40,Sazim Ray Imtiaz,01873594311,dohfS6KyvK
9,A,41,Arnika Ray Rafiq,01742520903,fKde1dzNIo
9,A,42,Mushfiq Jin Nawaz,01832036331,4BBj3HxBeT
9,A,43,Sazim Ash Arif,01935597794,ZB0FwxKuX4
9,A,44,Nairin Noor Hossain,01520390499,xuOJCUOVTZ
9,A,45,Mehnaz Fae Riyad,01656671845,70gp3wwTdq
9,A,46,Nihal Noor Bhuiyan,01693298281,oV8wKiC0m0
9,A,47,Raqib Arif,01759483529,Y77sSZKN9m
9,A,48,Ishraq Zoh Rumi,01578255451,MO6Y1gcZMk
9,A,49,Rifah Ash Sabbir,01582537089,T61mLyqeIt
9,A,50,Raihan Zoh Jahir,01621208815,PxzBuyzNG1
