class,section,roll,username,phone,password
2,B,1,Raysha Fae Haque,01532075963,gxPj1j4HtC
2,B,2,Adrita Ray Arif,01608216031,45X9GFCh9T
2,B,3,Ritvik Anwar,01746176429,gw6MPU59lj
2,B,4,Areeb Rafiq,01994151124,ChAg6nE4aj
2,B,5,Tahmid Fae Nawaz,01661221260,kYfYF7r0L4
2,B,6,Hridita Das,01524261820,XlZtED6jVQ
2,B,7,Saimun Ray Rafiq,01654239708,PSyyW1tnz7
2,B,8,Mehreen Zoh Nafi,01839685787,Bku7oaJwZO
2,B,9,Nihira Ryn Nayer,01968055462,6qOC91GAls
2,B,10,Rifah Zoh Nayer,01810159695,aYBMEQomIE
2,B,11,Samiha Zee Rumi,01804962589,g7Nm8LGkUJ
2,B,12,Kashfi Kai Hossain,01939253777,mw8BwEaU01
2,B,13,Zarif Noor Kamal,01846120031,cANBiEjrMg
2,B,14,Hridita Noor Khandoker,01805979656,qqhZuV6Szv
2,B,15,Iftekhar Zoh Azad,01905603293,PAO3oxjbAd
2,B,16,Adrita Kai Sajid,01832139926,dM3idB3EBE
2,B,17,Tashfi Ryn Rahman,01542647832,SxbPqgM3u4
2,B,18,Tanzim Nizam,01848200823,A3vZo5USDG
2,B,19,Nishat Ryn Azad,01927756771,iU1TTiAFM6
2,B,20,Maliha Zoh Sayeed,01782088620,4OuycfaXoS
2,B,21,Arham Zee Arefin,01800151417,IX0ZxZB0ma
2,B,22,Kashfi Nayer,01507342535,FAURLZW9mg
2,B,23,Arnika Zoh Nawaz,01555038767,B5u6f4NcVX
2,B,24,Ibtihaj Anwar,01561500720,0dEBnrNSAB
2,B,25,Mairin Zee Sami,01977359063,QRlSFY5zEd
2,B,26,Nihal Noor Arefin,01930337905,rlFgqHmcTG
2,B,27,Raysha Noor Hossain,01795269479,LW83BlnvHP
2,B,28,Nihira Zoh Das,01797565819,zT15qxoeMa
2,B,29,Raysha Jin Zaman,01557077957,BNN34QI73Q
2,B,30,Sanjida Fae Jahan,01713121238,kH0dXeBoNi
2,B,31,Areeb Ryn Karim,01691702529,NAYNH3ww24
2,B,32,Adrita Jin Molla,01843621121,CGOvn9wWEI
2,B,33,Raiqa Ryn Rashid,01510549432,buiUFENQDI
2,B,34,Tashfi Hridoy,01577219135,YVVaC77IYF
2,B,35,Saimun Jahir,01930245593,ATBAzbpajO
2,B,36,Mehnaz Ryn Das,01956991291,gGXWNKi8Fa
2,B,37,Raihan Kai Mazumder,01530324971,G5cUu8fzgs
2,B,38,Zawad Noor Banik,01565647496,47pRRbQvOr
2,B,39,Mairin Zoh Mazumder,01708495751,EgBk4qMCJ3
2,B,40,Areeb Ryn Rumi,01797881861,JccH65hPpU
2,B,41,Raihan Hasnat,01898648327,AAzTLAHxuM
2,B,42,Ibtihaj Ash Nizam,01868312390,BXbqbBsjQ1
2,B,43,Raysha Zoh Sharif,01514461266,wAUOLoTRuP
2,B,44,Rishad Imtiaz,01643364196,eCUXTw2eZM
2,B,45,Nishat Noor Sajid,01990161688,qvM9eUdpws
2,B,46,Raqib Molla,01765849628,pa1uNRbe7I
2,B,47,Afsheen Zoh Kamal,01960828791,7QVa4TIxCp
2,B,48,Saimun Ray Sharif,01845000127,zbD7k0tpGG
2,B,49,Kashfi Zaman,01718764834,eGzozXDapa
2,B,50,Anika Ray Arefin,01673077460,X2q9ARGNHr
