class,section,roll,username,phone,password
1,A,1,Fardin Jin Molla,01979627756,KNfgm8Lxh1
1,A,2,Rifah Ray Rashid,01571674816,NrvdeWJBnz
1,A,3,Tanzim Fae Imtiaz,01761857073,LniPzv18s0
1,A,4,Fardin Ryn Sajid,01660992471,YkklpIOK7x
1,A,5,Areeb Jahir,01664967554,OSZNGjCtWh
1,A,6,Fariha Jahan,01813219630,E70GDXiEV0
1,A,7,Sakina Sultana,01522554506,u6921tJpbh
1,A,8,Rifah Zoh Sarker,01627446772,6dBDgiaavu
1,A,9,Mehnaz Ash Chowdhury,01536039455,O0aG3VqzLm
1,A,10,Raqib Zee Fahim,01976419757,S8FkhVfjoE
1,A,11,Nihal Jin Molla,01687428761,gWTI6hVfOC
1,A,12,Tashfi Ryn Paul,01831454261,flM3G6ZlSL
1,A,13,Anika Ray Nayer,01621291230,4N2TENZSN6
1,A,14,Nihira Kai Mazumder,01929538953,ycO0lua57P
1,A,15,Mushfiq Hossain,01816845305,D7Qd4qRJee
1,A,16,Anika Ryn Roy,01845230918,gaF3M29wQI
1,A,17,Mushfiq Zoh Barua,01775722321,zy9qjaZjKG
1,A,18,Tahsin Jin Sayeed,01713178570,W2Wo7Mjox6
1,A,19,Ruvin Jahan,01609331150,BUbhQQEPzL
1,A,20,Ibtihaj Jin Imtiaz,01960037757,6toYQkFDt4
1,A,21,Mehreen Jin Jahir,01524229582,RHDL9kPiHm
1,A,22,Zayden Das,01665751353,ejtx8xSpfM
1,A,23,Maliha Zee Nayer,01715456558,P8PvM8eX9k
1,A,24,Sakina Ray Rashid,01874955188,faNesLElIn
1,A,25,Rishad Anwar,01883182629,zO5MUdNUTg
1,A,26,Raiqa Jubayer,01829084707,tpW4Xi7KJu
1,A,27,Rudra Fae Sadik,01613092205,1REewIw25N
1,A,28,Nairin Fae Anwar,01916535536,fQJxmpty2G
1,A,29,Rifah Ray Arefin,01743621031,98EAsZn1N8
1,A,30,Zarif Fae Sarker,01816298033,UdleZqjFn4
1,A,31,Mushfiq Jin Jubayer,01752913100,Y8WjHNbLj2
1,A,32,Nihal Fae Sharif,01569858446,cpDnTMwzqV
1,A,33,Orin Banik,01665151714,rHxN51BC9Z
1,A,34,Zafreen Kai Arefin,01876275413,SlIjsVBDbX
1,A,35,Afsheen Ash Jahan,01968396541,54m2P9oyXn
1,A,36,Raysha Ryn Jahan,01990481736,EJia9JKf4p
1,A,37,Maliha Zee Bhuiyan,01974723992,1llanu8psH
1,A,38,Zarin Noor Sabbir,01541805683,sMay4QI9fa
1,A,39,Raihan Rashid,01943376797,ClIcMXJRBI
1,A,40,Nishat Zoh Zaman,01989028800,Gf8qFCaVib
1,A,41,Anika Kai Bhuiyan,01712102105,sTd7ptoMun
1,A,42,Zeenat Noor Chowdhury,01855122083,fvUyStrokC
1,A,43,Zohair Jin Mazumder,01814761316,Z90qwYlGtD
1,A,44,Raqib Ryn Paul,01999046676,Ek5E7jUzDh
1,A,45,Nihira Jin Muntasir,01839683719,rFan3m49ci
1,A,46,Irfan Ray Hossain,01783214334,KBeuuNpsJ5
1,A,47,Tanzim Khandoker,01995115314,OpD60EsGOQ
1,A,48,Zinia Zoh Sayeed,01616052149,uCcIxZU9Er
1,A,49,Seyam Jahir,01510577825,WGMQOoqQfK
1,A,50,Ritvik Zoh Imtiaz,01894784202,aTCP6g8UKS
